batch_number,thaw_date,image_date,condition_name,cell_line_ID,query
1,2019-10-16,2019-10-23,WT,114,WT
1,2019-10-16,2019-10-23,C1,401,ARF1
1,2019-10-16,2019-10-23,C2,410,PIGT
1,2019-10-16,2019-10-23,C3,516,VAC14
1,2019-10-16,2019-10-23,C4,691,STAG1
2,2019-10-21,2019-10-29,WT,114,WT
2,2019-10-21,2019-10-29,C1,268,SHMT2
2,2019-10-21,2019-10-29,C2,323,UAP1L1
2,2019-10-21,2019-10-29,C3,399,ACTB
2,2019-10-21,2019-10-29,C4,484,LAMP1
3,2019-10-24,2019-11-01,WT,114,WT
3,2019-10-24,2019-11-01,C1,98,SHMT1
3,2019-10-24,2019-11-01,C2,305,ATG5
3,2019-10-24,2019-11-01,C3,402,CDC42
3,2019-10-24,2019-11-01,C4,419,STX4
4,2019-10-27,2019-11-03,WT,114,WT
4,2019-10-27,2019-11-03,C1,208,HDAC3
4,2019-10-27,2019-11-03,C2,462,MPI
4,2019-10-27,2019-11-03,C3,515,VPS54
4,2019-10-27,2019-11-03,C4,585,GSR
5,2019-11-01,2019-11-08,WT,114,WT
5,2019-11-01,2019-11-08,C1,332,ACTG1
5,2019-11-01,2019-11-08,C2,416,SIN3A
5,2019-11-01,2019-11-08,C3,456,HGS
5,2019-11-01,2019-11-08,C4,587,NPRL2
6,2019-11-03,2019-11-11,WT,114,WT
6,2019-11-03,2019-11-11,C1,445,RPS25
6,2019-11-03,2019-11-11,C2,480,HSD17B4
6,2019-11-03,2019-11-11,C3,530,TMED9
6,2019-11-03,2019-11-11,C4,633,PIK3CB
7,2019-11-06,2019-11-13,WT,114,WT
7,2019-11-06,2019-11-13,C1,539,METAP1
7,2019-11-06,2019-11-13,C2,563,HUWE1
7,2019-11-06,2019-11-13,C3,621,RAB14
7,2019-11-06,2019-11-13,C4,687,RGP1
8,2019-11-11,2019-11-18,WT,114,WT
8,2019-11-11,2019-11-18,C1,184,ABCC1
8,2019-11-11,2019-11-18,C2,465,LCMT1
8,2019-11-11,2019-11-18,C3,479,VPS52
8,2019-11-11,2019-11-18,C4,553,PAN2
9,2019-11-14,2019-11-21,WT,114,WT
9,2019-11-14,2019-11-21,C1,168,TAF5L
9,2019-11-14,2019-11-21,C2,429,RHOA
9,2019-11-14,2019-11-21,C3,473,RICTOR
9,2019-11-14,2019-11-21,C4,608,CSNK2A2
10,2019-10-18,2019-10-26,WT,114,WT
10,2019-10-18,2019-10-26,C1,329,PIGO
10,2019-10-18,2019-10-26,C2,420,WASL
10,2019-10-18,2019-10-26,C3,428,DDX11
10,2019-10-18,2019-10-26,C4,538,AP3D1
11,2019-12-10,2019-12-17,WT,114,WT
11,2019-12-10,2019-12-17,C1,74,SHMT1
11,2019-12-10,2019-12-17,C2,78,TAF5L
11,2019-12-10,2019-12-17,C3,329,PIGO
11,2019-12-10,2019-12-17,C4,333,ACTG1
